Area	Consumption Segment	Country	Measure Names	"Sector, Category or Product"	Measure Values
National	All	Armenia	$PPP	Energy	200.9684336
National	All	Armenia	Local Currency	Energy	46233.99396
Rural	Higher	Armenia	US$	Energy	0
Rural	Higher	Armenia	$PPP	Energy	0
Rural	Higher	Armenia	Local Currency	Energy	0
Rural	Middle	Armenia	US$	Energy	0.832818108
Rural	Middle	Armenia	$PPP	Energy	1.352674193
Rural	Middle	Armenia	Local Currency	Energy	311.1908142
Rural	Lowest	Armenia	US$	Energy	14.22674017
Rural	Lowest	Armenia	$PPP	Energy	23.10725968
Rural	Lowest	Armenia	Local Currency	Energy	5315.963733
Rural	Low	Armenia	US$	Energy	23.26537748
Rural	Low	Armenia	$PPP	Energy	37.78793402
Rural	Low	Armenia	Local Currency	Energy	8693.340948
Rural	All	Armenia	US$	Energy	38.32493576
Rural	All	Armenia	$PPP	Energy	62.24786789
Rural	All	Armenia	Local Currency	Energy	14320.4955
Urban	Higher	Armenia	US$	Energy	0.151162339
Urban	Higher	Armenia	$PPP	Energy	0.245519871
Urban	Higher	Armenia	Local Currency	Energy	56.48331953
Urban	Middle	Armenia	US$	Energy	4.957508642
Urban	Middle	Armenia	$PPP	Energy	8.052051149
Urban	Middle	Armenia	Local Currency	Energy	1852.422679
Urban	Lowest	Armenia	US$	Energy	27.91503518
Urban	Lowest	Armenia	$PPP	Energy	45.3399696
Urban	Lowest	Armenia	Local Currency	Energy	10430.73205
Urban	Low	Armenia	US$	Energy	52.38414714
Urban	Low	Armenia	$PPP	Energy	85.08302509
Urban	Low	Armenia	Local Currency	Energy	19573.86042
Urban	All	Armenia	US$	Energy	85.4078533
Urban	All	Armenia	$PPP	Energy	138.7205657
Urban	All	Armenia	Local Currency	Energy	31913.49847
National	Higher	Azerbaijan	US$	Energy	12.11516667
National	Higher	Azerbaijan	$PPP	Energy	18.81717376
National	Higher	Azerbaijan	Local Currency	Energy	9.728478834
National	Middle	Azerbaijan	US$	Energy	157.450192
National	Middle	Azerbaijan	$PPP	Energy	244.5502982
National	Middle	Azerbaijan	Local Currency	Energy	126.4325042
National	Lowest	Azerbaijan	US$	Energy	134.6226711
National	Lowest	Azerbaijan	$PPP	Energy	209.094787
National	Lowest	Azerbaijan	Local Currency	Energy	108.1020049
National	Low	Azerbaijan	US$	Energy	601.6593543
National	Low	Azerbaijan	$PPP	Energy	934.4921886
