Area,Consumption Segment,Country,Measure Names,"Sector, Category or Product",Measure Values
National,Low,Armenia,Local Currency,Energy,28267.201368504
National,All,Armenia,US$,Energy,123.732789060
National,All,Armenia,$PPP,Energy,200.968433600
National,All,Armenia,Local Currency,Energy,46233.993960251
Rural,Higher,Armenia,US$,Energy,0
Rural,Higher,Armenia,$PPP,Energy,0
Rural,Higher,Armenia,Local Currency,Energy,0
Rural,Middle,Armenia,US$,Energy,0.832818108
Rural,Middle,Armenia,$PPP,Energy,1.352674193
Rural,Middle,Armenia,Local Currency,Energy,311.190814190
Rural,Lowest,Armenia,US$,Energy,14.226740172
Rural,Lowest,Armenia,$PPP,Energy,23.107259679
Rural,Lowest,Armenia,Local Currency,Energy,5315.963732797
Rural,Low,Armenia,US$,Energy,23.265377477
Rural,Low,Armenia,$PPP,Energy,37.787934017
Rural,Low,Armenia,Local Currency,Energy,8693.340948167
Rural,All,Armenia,US$,Energy,38.324935757
Rural,All,Armenia,$PPP,Energy,62.247867889
Rural,All,Armenia,Local Currency,Energy,14320.495495087
Urban,Higher,Armenia,US$,Energy,0.151162339
Urban,Higher,Armenia,$PPP,Energy,0.245519871
Urban,Higher,Armenia,Local Currency,Energy,56.483319533
Urban,Middle,Armenia,US$,Energy,4.957508642
Urban,Middle,Armenia,$PPP,Energy,8.052051149
Urban,Middle,Armenia,Local Currency,Energy,1852.422679124
Urban,Lowest,Armenia,US$,Energy,27.915035182
Urban,Lowest,Armenia,$PPP,Energy,45.339969600
Urban,Lowest,Armenia,Local Currency,Energy,10430.732046285
Urban,Low,Armenia,US$,Energy,52.384147140
Urban,Low,Armenia,$PPP,Energy,85.083025091
Urban,Low,Armenia,Local Currency,Energy,19573.860420377
Urban,All,Armenia,US$,Energy,85.407853303
Urban,All,Armenia,$PPP,Energy,138.720565711
Urban,All,Armenia,Local Currency,Energy,31913.498465206
National,Higher,Azerbaijan,US$,Energy,12.115166668
National,Higher,Azerbaijan,$PPP,Energy,18.817173760
National,Higher,Azerbaijan,Local Currency,Energy,9.728478834
National,Middle,Azerbaijan,US$,Energy,157.450192008
National,Middle,Azerbaijan,$PPP,Energy,244.550298226
National,Middle,Azerbaijan,Local Currency,Energy,126.432504183
National,Lowest,Azerbaijan,US$,Energy,134.622671059
National,Lowest,Azerbaijan,$PPP,Energy,209.094786964
National,Lowest,Azerbaijan,Local Currency,Energy,108.102004860
National,Low,Azerbaijan,US$,Energy,601.659354333
National,Low,Azerbaijan,$PPP,Energy,934.492188645
National,Low,Azerbaijan,Local Currency,Energy,483.132461529
National,All,Azerbaijan,US$,Energy,905.847383832
National,All,Azerbaijan,$PPP,Energy,1406.954447228
National,All,Azerbaijan,Local Currency,Energy,727.395449217
Rural,Higher,Azerbaijan,US$,Energy,2.440360724
Rural,Higher,Azerbaijan,$PPP,Energy,3.790347507
Rural,Higher,Azerbaijan,Local Currency,Energy,1.959609661
Rural,Middle,Azerbaijan,US$,Energy,55.298048796
Rural,Middle,Azerbaijan,$PPP,Energy,85.888458768
Rural,Middle,Azerbaijan,Local Currency,Energy,44.404333183
Rural,Lowest,Azerbaijan,US$,Energy,78.282110987
Rural,Lowest,Azerbaijan,$PPP,Energy,121.587108555
Rural,Lowest,Azerbaijan,Local Currency,Energy,62.860535123
Rural,Low,Azerbaijan,US$,Energy,336.877546348
Rural,Low,Azerbaijan,$PPP,Energy,523.235337945
Rural,Low,Azerbaijan,Local Currency,Energy,270.512669718
Rural,All,Azerbaijan,US$,Energy,472.898066604
Rural,All,Azerbaijan,$PPP,Energy,734.501252385
Rural,All,Azerbaijan,Local Currency,Energy,379.737147483
Urban,Higher,Azerbaijan,US$,Energy,9.674805976
Urban,Higher,Azerbaijan,$PPP,Energy,15.026826304
Urban,Higher,Azerbaijan,Local Currency,Energy,7.768869199
Urban,Middle,Azerbaijan,US$,Energy,102.152143276
Urban,Middle,Azerbaijan,$PPP,Energy,158.661839557
Urban,Middle,Azerbaijan,Local Currency,Energy,82.028171051
Urban,Lowest,Azerbaijan,US$,Energy,56.340560201
Urban,Lowest,Azerbaijan,$PPP,Energy,87.507678609
Urban,Lowest,Azerbaijan,Local Currency,Energy,45.241469841
Urban,Low,Azerbaijan,US$,Energy,264.781808089
Urban,Low,Azerbaijan,$PPP,Energy,411.256850862
Urban,Low,Azerbaijan,Local Currency,Energy,212.619791896
Urban,All,Azerbaijan,US$,Energy,432.949317325
Urban,All,Azerbaijan,$PPP,Energy,672.453194994
Urban,All,Azerbaijan,Local Currency,Energy,347.658301812
National,Higher,Bangladesh,US$,Energy,1.620738308
National,Higher,Bangladesh,$PPP,Energy,3.418929715
National,Higher,Bangladesh,Local Currency,Energy,112.882802407
National,Middle,Bangladesh,US$,Energy,41.805842891
National,Middle,Bangladesh,$PPP,Energy,88.188967849
National,Middle,Bangladesh,Local Currency,Energy,2911.735151484
National,Lowest,Bangladesh,US$,Energy,2639.361986252
National,Lowest,Bangladesh,$PPP,Energy,5567.705211876
National,Lowest,Bangladesh,Local Currency,Energy,183828.922980497
National,Low,Bangladesh,US$,Energy,792.876047667
National,Low,Bangladesh,$PPP,Energy,1672.563341429
National,Low,Bangladesh,Local Currency,Energy,55223.023843950
National,All,Bangladesh,US$,Energy,3475.664615116
National,All,Bangladesh,$PPP,Energy,7331.876450866
National,All,Bangladesh,Local Currency,Energy,242076.564778232
Rural,Higher,Bangladesh,US$,Energy,0
Rural,Higher,Bangladesh,$PPP,Energy,0
Rural,Higher,Bangladesh,Local Currency,Energy,0
Rural,Middle,Bangladesh,US$,Energy,6.538246903
Rural,Middle,Bangladesh,$PPP,Energy,13.792360256
Rural,Middle,Bangladesh,Local Currency,Energy,455.382358571
Rural,Lowest,Bangladesh,US$,Energy,2014.724539925
Rural,Lowest,Bangladesh,$PPP,Energy,4250.039357944
Rural,Lowest,Bangladesh,Local Currency,Energy,140323.549481239
Rural,Low,Bangladesh,US$,Energy,267.716786456
Rural,Low,Bangladesh,$PPP,Energy,564.745629823
Rural,Low,Bangladesh,Local Currency,Energy,18646.206459862
Rural,All,Bangladesh,US$,Energy,2288.979573283
Rural,All,Bangladesh,$PPP,Energy,4828.577348021
Rural,All,Bangladesh,Local Currency,Energy,159425.138299595
Urban,Higher,Bangladesh,US$,Energy,1.620738308
Urban,Higher,Bangladesh,$PPP,Energy,3.418929715
Urban,Higher,Bangladesh,Local Currency,Energy,112.882802407
Urban,Middle,Bangladesh,US$,Energy,35.267595988
Urban,Middle,Bangladesh,$PPP,Energy,74.396607594
Urban,Middle,Bangladesh,Local Currency,Energy,2456.352792943
Urban,Lowest,Bangladesh,US$,Energy,624.637446328
Urban,Lowest,Bangladesh,$PPP,Energy,1317.665853933
Urban,Lowest,Bangladesh,Local Currency,Energy,43505.373499322
Urban,Low,Bangladesh,US$,Energy,525.159261212
Urban,Low,Bangladesh,$PPP,Energy,1107.817711607
Urban,Low,Bangladesh,Local Currency,Energy,36576.817384134
Urban,All,Bangladesh,US$,Energy,1186.685041834
Urban,All,Bangladesh,$PPP,Energy,2503.299102847
Urban,All,Bangladesh,Local Currency,Energy,82651.426478695
National,Higher,Belarus,US$,Energy,2.761166359
National,Higher,Belarus,$PPP,Energy,7.454675135
National,Higher,Belarus,Local Currency,Energy,8224.161611557
National,Middle,Belarus,US$,Energy,44.577620997
National,Middle,Belarus,$PPP,Energy,120.351923651
National,Middle,Belarus,Local Currency,Energy,132774.889914654
National,Lowest,Belarus,US$,Energy,0.250341544
National,Lowest,Belarus,$PPP,Energy,0.675879191
National,Lowest,Belarus,Local Currency,Energy,745.644793056
National,Low,Belarus,US$,Energy,13.173305011
National,Low,Belarus,$PPP,Energy,35.565661952
National,Low,Belarus,Local Currency,Energy,39236.820709562
National,All,Belarus,US$,Energy,60.762433911
National,All,Belarus,$PPP,Energy,164.048139929
National,All,Belarus,Local Currency,Energy,180981.517028794
Rural,Higher,Belarus,US$,Energy,1.684421270
Rural,Higher,Belarus,$PPP,Energy,4.547648249
Rural,Higher,Belarus,Local Currency,Energy,5017.065597107
Rural,Middle,Belarus,US$,Energy,31.172842161
Rural,Middle,Belarus,$PPP,Energy,84.161322115
Rural,Middle,Belarus,Local Currency,Energy,92848.622106222
Rural,Lowest,Belarus,US$,Energy,0.250341544
Rural,Lowest,Belarus,$PPP,Energy,0.675879191
Rural,Lowest,Belarus,Local Currency,Energy,745.644793063
Rural,Low,Belarus,US$,Energy,10.693407774
Rural,Low,Belarus,$PPP,Energy,28.870365157
Rural,Low,Belarus,Local Currency,Energy,31850.421989028
Rural,All,Belarus,US$,Energy,43.801012750
Rural,All,Belarus,$PPP,Energy,118.255214712
Rural,All,Belarus,Local Currency,Energy,130461.754485368
Urban,Higher,Belarus,US$,Energy,1.076745089
Urban,Higher,Belarus,$PPP,Energy,2.907026885
Urban,Higher,Belarus,Local Currency,Energy,3207.096014454
Urban,Middle,Belarus,US$,Energy,13.404778835
Urban,Middle,Belarus,$PPP,Energy,36.190601537
Urban,Middle,Belarus,Local Currency,Energy,39926.267808441
Urban,Lowest,Belarus,US$,Energy,0
Urban,Lowest,Belarus,$PPP,Energy,0
Urban,Lowest,Belarus,Local Currency,Energy,0
Urban,Low,Belarus,US$,Energy,2.479897237
Urban,Low,Belarus,$PPP,Energy,6.695296795
Urban,Low,Belarus,Local Currency,Energy,7386.398720542
Urban,All,Belarus,US$,Energy,16.961421161
Urban,All,Belarus,$PPP,Energy,45.792925217
Urban,All,Belarus,Local Currency,Energy,50519.762543435
National,Higher,Benin,US$,Energy,0
National,Higher,Benin,$PPP,Energy,0
National,Higher,Benin,Local Currency,Energy,0
National,Middle,Benin,US$,Energy,8.314854455
National,Middle,Benin,$PPP,Energy,14.087884023
National,Middle,Benin,Local Currency,Energy,4118.156169764
National,Lowest,Benin,US$,Energy,277.546370482
National,Lowest,Benin,$PPP,Energy,470.247687401
National,Lowest,Benin,Local Currency,Energy,137462.333733299
National,Low,Benin,US$,Energy,90.119617321
National,Low,Benin,$PPP,Energy,152.689950731
National,Low,Benin,Local Currency,Energy,44634.173707735
National,All,Benin,US$,Energy,375.980842257
National,All,Benin,$PPP,Energy,637.025522154
National,All,Benin,Local Currency,Energy,186214.663610529
Rural,Higher,Benin,US$,Energy,0
Rural,Higher,Benin,$PPP,Energy,0
Rural,Higher,Benin,Local Currency,Energy,0
Rural,Middle,Benin,US$,Energy,0
Rural,Middle,Benin,$PPP,Energy,0
Rural,Middle,Benin,Local Currency,Energy,0
Rural,Lowest,Benin,US$,Energy,136.003845475
Rural,Lowest,Benin,$PPP,Energy,230.431742634
Rural,Lowest,Benin,Local Currency,Energy,67359.576575092
Rural,Low,Benin,US$,Energy,14.009958117
Rural,Low,Benin,$PPP,Energy,23.737116048
Rural,Low,Benin,Local Currency,Energy,6938.810026128
Rural,All,Benin,US$,Energy,150.013803591
Rural,All,Benin,$PPP,Energy,254.168858682
Rural,All,Benin,Local Currency,Energy,74298.386601114
Urban,Higher,Benin,US$,Energy,0
Urban,Higher,Benin,$PPP,Energy,0
Urban,Higher,Benin,Local Currency,Energy,0
Urban,Middle,Benin,US$,Energy,8.314854455
Urban,Middle,Benin,$PPP,Energy,14.087884023
Urban,Middle,Benin,Local Currency,Energy,4118.156169764
Urban,Lowest,Benin,US$,Energy,141.542525008
Urban,Lowest,Benin,$PPP,Energy,239.815944767
Urban,Lowest,Benin,Local Currency,Energy,70102.757158324
Urban,Low,Benin,US$,Energy,76.109659204
Urban,Low,Benin,$PPP,Energy,128.952834683
Urban,Low,Benin,Local Currency,Energy,37695.363681716
Urban,All,Benin,US$,Energy,225.967038666
Urban,All,Benin,$PPP,Energy,382.856663472
Urban,All,Benin,Local Currency,Energy,111916.27700953
National,Higher,Bhutan,US$,Energy,0.364770531
National,Higher,Bhutan,$PPP,Energy,0.754933344
National,Higher,Bhutan,Local Currency,Energy,16.679497309
National,Middle,Bhutan,US$,Energy,4.442981569
National,Middle,Bhutan,$PPP,Energy,9.195246457
National,Middle,Bhutan,Local Currency,Energy,203.159775228
National,Lowest,Bhutan,US$,Energy,2.409007085
National,Lowest,Bhutan,$PPP,Energy,4.985709151
National,Lowest,Bhutan,Local Currency,Energy,110.154257988
National,Low,Bhutan,US$,Energy,9.907886622
National,Low,Bhutan,$PPP,Energy,20.505477672
National,Low,Bhutan,Local Currency,Energy,453.048023675
National,All,Bhutan,US$,Energy,17.124645806
National,All,Bhutan,$PPP,Energy,35.441366621
National,All,Bhutan,Local Currency,Energy,783.041554131
Rural,Higher,Bhutan,US$,Energy,0.026340334
Rural,Higher,Bhutan,$PPP,Energy,0.054514262
Rural,Higher,Bhutan,Local Currency,Energy,1.204438096
Rural,Middle,Bhutan,US$,Energy,0.587327601
Rural,Middle,Bhutan,$PPP,Energy,1.215540051
Rural,Middle,Bhutan,Local Currency,Energy,26.856141883
Rural,Lowest,Bhutan,US$,Energy,2.017947266
Rural,Lowest,Bhutan,$PPP,Energy,4.176367189
Rural,Lowest,Bhutan,Local Currency,Energy,92.272656671
Rural,Low,Bhutan,US$,Energy,3.494539651
Rural,Low,Bhutan,$PPP,Energy,7.232340006
Rural,Low,Bhutan,Local Currency,Energy,159.791320101
Rural,All,Bhutan,US$,Energy,6.126154851
Rural,All,Bhutan,$PPP,Energy,12.678761505
Rural,All,Bhutan,Local Currency,Energy,280.124556695
Urban,Higher,Bhutan,US$,Energy,0.338430198
Urban,Higher,Bhutan,$PPP,Energy,0.700419083
Urban,Higher,Bhutan,Local Currency,Energy,15.475059222
Urban,Middle,Bhutan,US$,Energy,3.855653969
Urban,Middle,Bhutan,$PPP,Energy,7.979706408
Urban,Middle,Bhutan,Local Currency,Energy,176.303633374
Urban,Lowest,Bhutan,US$,Energy,0.391059820
Urban,Lowest,Bhutan,$PPP,Energy,0.809341964
Urban,Lowest,Bhutan,Local Currency,Energy,17.881601352
Urban,Low,Bhutan,US$,Energy,6.413346971
Urban,Low,Bhutan,$PPP,Energy,13.273137666
